# Vx    Vy    w    Cx    Cy
-1.793787147582400487e-01 -1.970118698843652608e-02 2.286372481998831876e-02 1.807843254580422183e+02 5.018517013930807593e+02
-1.046570084231942949e-01 3.715786161729341119e-02 2.303313554079065850e-02 1.740524923893857192e+02 5.110466182424548265e+02
-2.063640477678238203e-02 6.650570719323076196e-02 2.375617540869059963e-02 1.723313119482639877e+02 4.993758513268298316e+02
5.176979233466578491e-03 3.084090484074856336e-02 2.394643550591607148e-02 1.707083122950054417e+02 5.001399220428215244e+02
-6.286537394893859654e-02 1.611338215945819219e-01 2.415501884844045710e-02 1.733160680284162254e+02 5.006512842630644400e+02
-3.273031913470589305e-02 1.476748666366116125e-01 2.523508754214444025e-02 1.719177624198179331e+02 4.957047141632195348e+02
2.163617072542887987e-02 9.078834859132343948e-02 2.482369853614830105e-02 1.702073486794382688e+02 4.975181959676386327e+02
3.384272416120694821e-02 2.190395972975686945e-01 2.530492865791779747e-02 1.733059369291826783e+02 4.969634796556435958e+02
-4.192057322908711824e-03 1.848389504053130350e-01 2.522021816191005045e-02 1.741838134641798206e+02 4.998667005860423842e+02
3.093007396052951941e-02 1.072497978412608466e-01 2.514865997019558042e-02 1.734071552520277919e+02 4.928365020991087135e+02
-3.854758040504664002e-02 1.695006230664446167e-01 2.514702116198987841e-02 1.745634854260193549e+02 5.033188552459088214e+02
-2.437289558800547970e-02 1.843948988391527211e-01 2.516674181444715844e-02 1.757293706135701825e+02 5.012224920871875611e+02
-4.248215828270336669e-02 1.481042954857767213e-01 2.616397109973741045e-02 1.725090440828966507e+02 4.992500135697193855e+02
3.282813056866914700e-03 1.391382978762268907e-01 2.562340007892064883e-02 1.769153427184061229e+02 4.999978233979867923e+02
-4.511545084116686324e-03 1.715196113440904391e-01 2.608976850395651123e-02 1.756264313526138778e+02 5.035962484012324012e+02
-9.062152681696253667e-03 2.404885360626882462e-01 2.608478807576932249e-02 1.757973235675379442e+02 5.027390047885984927e+02
5.293731683159725449e-02 1.032041268271688128e-01 2.541526904903436759e-02 1.778247472468976582e+02 5.091662277214919072e+02
3.482326637593616270e-02 1.071317309276269003e-01 2.621730109341622456e-02 1.749394070739463700e+02 5.045314495442366933e+02
6.784800229782444493e-03 9.091860812793414737e-02 2.742262777098329954e-02 1.728009768220228182e+02 4.982163511021182671e+02
-3.922796557514535848e-02 2.741245732740299479e-01 2.711931819812404137e-02 1.806045939896654602e+02 5.037627079770431351e+02
-6.784346366395950512e-02 1.358677934357477857e-01 2.724690736266077370e-02 1.754067722354453451e+02 5.022251831932489949e+02
